site_uid,site_name,parish_name,town,latitude,longitude,coordinate_precision_final,coordinate_confidence,coordinate_source,coordinate_verified_at
port-louis-sainte-croix-sainte-therese-de-lenfant-jesus-cite-la-cure,Sainte Thérèse-de-l’Enfant-Jésus,Sainte-Croix,Cité La Cure,-20.145,57.509,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
port-louis-sainte-marie-madeleine-bienheureux-pere-laval-grno,Bienheureux-Père-Laval,Sainte-Marie-Madeleine,GRNO,-20.179,57.458,,0.45,locality_level_only,2026-05-02
port-louis-sainte-marie-madeleine-saint-matthieu-la-tour-koenig,Saint-Matthieu,Sainte-Marie-Madeleine,La Tour Koenig,-20.173,57.463,,0.45,locality_level_only,2026-05-02
port-louis-sainte-marie-madeleine-sainte-marie-madeleine-pointe-aux-sables,Sainte-Marie-Madeleine,Sainte-Marie-Madeleine,Pointe-aux-Sables,-20.17,57.45,,0.45,locality_level_only,2026-05-02
region-est-notre-dame-du-sacre-cur-notre-dame-du-sacre-cur-camp-de-masque,Notre-Dame-du-Sacré-Cœur,Notre-Dame-du-Sacré-Cœur,Camp de Masque,-20.24014,57.68113,,0.83,WorldPlaces direct Notre-Dame du Sacré Cœur Camp de Masque coordinate; Waze/Plus-Code evidence indicates same locality but exact entrance not confirmed,2026-05-02
region-est-saint-esprit-christ-roi-clemencia,Christ-Roi,Saint-Esprit,Clémencia,-20.296,57.745,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-est-saint-esprit-marie-etoile-de-la-mer-quatre-soeurs,Marie-Etoile-de-la-Mer,Saint-Esprit,Quatre-Soeurs,-20.294,57.734,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-est-saint-esprit-notre-dame-de-banneaux-beau-champ,Notre-Dame-de-Banneaux,Saint-Esprit,Beau-Champ,-20.27,57.74,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-est-saint-esprit-notre-dame-de-bon-secours-trou-deau-douce,Notre-Dame-de-Bon-Secours,Saint-Esprit,Trou-d’Eau-Douce,-20.239687,57.786187,,0.88,GCatholic Google Maps plus code,2026-05-02
region-est-saint-esprit-saint-esprit-bel-air,Saint-Esprit,Saint-Esprit,Bel-Air,-20.256688,57.750687,,0.88,GCatholic Google Maps plus code,2026-05-02
region-est-saint-esprit-sainte-therese-de-lenfant-jesus-olivia,Sainte-Thérèse-de-l’Enfant-Jésus,Saint-Esprit,Olivia,-20.300563,57.732438,,0.88,GCatholic Google Maps plus code,2026-05-02
region-est-saint-julien-marie-mere-de-leglise-bois-doiseaux,Marie-Mère-de-l’Eglise,Saint-Julien,Bois-d’Oiseaux,-20.213,57.722,,0.45,locality_level_only,2026-05-02
region-est-saint-julien-saint-julien-union-flacq,Saint-Julien,Saint-Julien,Union-Flacq,-20.207,57.714,,0.45,locality_level_only,2026-05-02
region-est-saint-julien-sainte-anne-bonne-mere,Sainte-Anne,Saint-Julien,Bonne-Mère,-20.195,57.708,,0.45,locality_level_only,2026-05-02
region-est-saint-leon-jesus-bon-pasteur-sebastopol,Jésus-Bon-Pasteur,Saint-Léon,Sébastopol,-20.289,57.687,,0.45,locality_level_only,2026-05-02
region-est-saint-leon-saint-joseph-montagne-blanche,Saint-Joseph,Saint-Léon,Montagne-Blanche,-20.285,57.655,,0.45,locality_level_only,2026-05-02
region-est-saint-leon-saint-leon-quartier-militaire,Saint-Léon,Saint-Léon,Quartier-Militaire,-20.24708,57.59669,,0.88,WorldPlaces GPS coordinate for St Léon Quartier Militaire / Montagne Blanche,2026-05-02
region-est-saint-leon-saint-sebastien-lesperance,Saint-Sébastien,Saint-Léon,L’Espérance,-20.236,57.631,,0.45,locality_level_only,2026-05-02
region-est-saint-leon-sainte-jeanne-darc-alma,Sainte-Jeanne-d’Arc,Saint-Léon,Alma,-20.22,57.735,,0.45,locality_level_only,2026-05-02
region-est-saint-michel-saint-michel-pont-praslin,Saint-Michel,Saint-Michel,Pont-Praslin,-20.408,57.7,,0.65,duplicate_or_area_coordinate,2026-05-02
region-est-sainte-ursule-saint-dominique-quatre-cocos,Saint-Dominique,Sainte-Ursule,Quatre-Cocos,-20.205,57.763,,0.45,locality_level_only,2026-05-02
region-est-sainte-ursule-saint-joseph-belle-mare,Saint-Joseph,Sainte-Ursule,Belle-Mare,-20.198,57.78,,0.45,locality_level_only,2026-05-02
region-est-sainte-ursule-saint-maurice-poste-de-flacq,Saint-Maurice,Sainte-Ursule,Poste-de-Flacq,-20.167,57.732,,0.45,locality_level_only,2026-05-02
region-est-sainte-ursule-sainte-ursule-centre-de-flacq,Sainte-Ursule,Sainte-Ursule,Centre de Flacq,-20.203063,57.729063,,0.88,GCatholic Google Maps plus code,2026-05-02
region-nord-bienheureuse-vierge-marie-reine-marie-reine-poudre-d-or,Marie-Reine,Bienheureuse-Vierge-Marie-Reine,Poudre d'Or,-20.066563,57.685062,,0.88,GCatholic Google Maps plus code,2026-05-02
region-nord-bienheureuse-vierge-marie-reine-sainte-claire-goodlands,Sainte-Claire,Bienheureuse-Vierge-Marie-Reine,Goodlands,-20.041132,57.655366,,0.86,"WeekdayMasses church map pin for Ste Claire, Goodlands, linked to diocesan parish page",2026-05-02
region-nord-cur-immacule-de-marie-cur-immacule-de-marie-riviere-du-rempart,Cœur-Immaculé-de-Marie,Cœur-Immaculé-de-Marie,Rivière-du-Rempart,-20.115873,57.678455,,0.84,"WeekdayMasses church map pin for Coeur Immaculé de Marie, Belle Vue Maurel, linked to diocesan parish page; town label retained pending source-data review",2026-05-02
region-nord-cur-immacule-de-marie-noces-de-cana-riviere-du-rempart,Noces-de-Cana,Cœur-Immaculé-de-Marie,Rivière-du-Rempart,-20.103,57.684,,0.45,locality_level_only,2026-05-02
region-nord-cur-immacule-de-marie-notre-dame-de-l-assomption-roches-noires,Notre-Dame-de-l'Assomption,Cœur-Immaculé-de-Marie,Roches-Noires,-20.11,57.71,,0.45,locality_level_only,2026-05-02
region-nord-cur-immacule-de-marie-notre-dame-de-lesperance-piton,Notre-Dame-de-l’Espérance,Cœur-Immaculé-de-Marie,Piton,-20.09,57.627,,0.45,locality_level_only,2026-05-02
region-nord-cur-immacule-de-marie-saint-nathanael-pointe-des-lascars,Saint-Nathanaël,Cœur-Immaculé-de-Marie,Pointe-des-Lascars,-20.09,57.64,,0.45,locality_level_only,2026-05-02
region-nord-notre-dame-de-fatima-notre-dame-de-fatima-triolet,Notre-Dame-de-Fatima,Notre-Dame-de-Fatima,Triolet,-20.043688,57.550687,,0.88,GCatholic Google Maps plus code,2026-05-02
region-nord-notre-dame-de-la-delivrande-notre-dame-de-la-delivrande-montagne-longue,Notre-Dame-de-la-Délivrande,Notre-Dame-de-la-Délivrande,Montagne Longue,-19.985,57.614,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-nord-notre-dame-de-la-delivrande-sainte-therese-montagne-longue,Sainte-Thérèse,Notre-Dame-de-la-Délivrande,Montagne Longue,-20.135,57.562,,0.45,locality_level_only,2026-05-02
region-nord-notre-dame-de-la-salette-notre-dame-de-la-salette-grand-baie,Notre-Dame-de-la-Salette,Notre-Dame-de-la-Salette,Grand-Baie,-20.016813,57.598687,,0.88,GCatholic Google Maps plus code,2026-05-02
region-nord-notre-dame-de-la-salette-saints-anges-gardiens-grand-baie,Saints-Anges-Gardiens,Notre-Dame-de-la-Salette,Grand-Baie,-20.006,57.66,,0.65,duplicate_or_area_coordinate,2026-05-02
region-nord-saint-francois-dassise-saint-francois-dassise-pamplemousses,Saint-François d’Assise,Saint-François-d’Assise,Pamplemousses,-20.107563,57.576437,,0.88,GCatholic Google Maps plus code,2026-05-02
region-nord-saint-francois-dassise-saint-georges-labourdonnais,Saint-Georges,Saint-François-d’Assise,Labourdonnais,-20.11,57.585,,0.45,locality_level_only,2026-05-02
region-nord-saint-jean-marie-vianney-saint-jean-marie-vianney-pointe-aux-piments,Saint-Jean-Marie-Vianney,Saint-Jean-Marie-Vianney,Pointe-aux-Piments,-20.103,57.57,,0.65,duplicate_or_area_coordinate,2026-05-02
region-nord-saint-joseph-notre-dame-de-lesperance-solitude,Notre-Dame-de-l’Espérance,Saint-Joseph,Solitude,-20.077,57.561,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-nord-saint-joseph-saint-joseph-terre-rouge,Saint-Joseph,Saint-Joseph,Terre-Rouge,-20.117356,57.532778,,0.88,"WeekdayMasses church map pin for St Joseph, Terre Rouge, linked to diocesan parish page",2026-05-02
region-nord-saint-joseph-sainte-famille-bois-marchand,Sainte-Famille,Saint-Joseph,Bois-Marchand,-20.128,57.531,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-nord-saint-michel-couvent-des-filles-de-marie-grand-gaube,Couvent des filles de Marie,Saint-Michel,Grand-Gaube,-20.006,57.661,,0.45,locality_level_only,2026-05-02
region-nord-saint-michel-notre-dame-auxiliatrice-cap-malheureux,Notre-Dame-Auxiliatrice,Saint-Michel,Cap Malheureux,-20.006,57.66,,0.65,duplicate_or_area_coordinate,2026-05-02
region-nord-saint-michel-saint-michel-grand-gaube,Saint-Michel,Saint-Michel,Grand-Gaube,-20.009438,57.670812,,0.88,GCatholic Google Maps plus code,2026-05-02
region-ouest-saint-augustin-notre-dame-de-fatima-petite-riviere-noire,Notre-Dame-de-Fatima,Saint-Augustin,Petite Rivière Noire,-20.347,57.36,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-ouest-saint-augustin-saint-augustin-riviere-noire,Saint-Augustin,Saint-Augustin,Rivière Noire,-20.362187,57.376312,,0.88,GCatholic Google Maps plus code,2026-05-02
region-ouest-saint-augustin-saint-benoit-tamarin,Saint-Benoît,Saint-Augustin,Tamarin,-20.329438,57.378312,,0.88,GCatholic Google Maps plus code,2026-05-02
region-ouest-saint-cur-de-marie-notre-dame-de-la-mer-albion,Notre-Dame-de-la-Mer,Saint-Cœur-de-Marie,Albion,-20.208,57.408,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-ouest-saint-cur-de-marie-saint-cur-de-marie-bambous,Saint-Cœur-de-Marie,Saint-Cœur-de-Marie,Bambous,-20.258,57.406,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-ouest-saint-sauveur-saint-marc-flic-en-flac,Saint-Marc,Saint-Sauveur,Flic-en-Flac,-20.274,57.363,,0.45,locality_level_only,2026-05-02
region-ouest-saint-sauveur-saint-sauveur-bambous,Saint-Sauveur,Saint-Sauveur,Bambous,-20.25527,57.41949,,0.93,Mapcarta/OpenStreetMap church-building evidence,2026-05-02
region-ouest-sainte-anne-le-seigneur-de-la-peche-miraculeuse-la-gaulette,Le-Seigneur-de-la-Pêche-Miraculeuse,Sainte-Anne,La Gaulette,-20.429,57.359,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-ouest-sainte-anne-mater-dolorosa-case-noyale,Mater Dolorosa,Sainte-Anne,Case Noyale,-20.41332,57.36939,,0.89,Mapcarta/OpenStreetMap Catholic Church Mater-Dolorosa place node 2163814029,2026-05-02
region-ouest-sainte-anne-sainte-anne-chamarel,Sainte-Anne,Sainte-Anne,Chamarel,-20.424813,57.391188,,0.88,GCatholic Google Maps plus code,2026-05-02
region-ouest-sainte-anne-stella-maris-case-noyale,Stella Maris,Sainte-Anne,Case Noyale,-20.393,57.367,,0.65,duplicate_or_area_coordinate,2026-05-02
region-sud-notre-dame-des-anges-notre-dame-des-anges-mahebourg,Notre-Dame-des-Anges,Notre-Dame-des-Anges,Mahébourg,-20.411562,57.706438,,0.88,GCatholic Google Maps plus code,2026-05-02
region-sud-notre-dame-des-anges-notre-dame-du-grand-pouvoir-vieux-grand-port,Notre-Dame-du-Grand-Pouvoir,Notre-Dame-des-Anges,Vieux-Grand-Port,-20.3751,57.7231,,0.94,Mapcarta/OpenStreetMap Notre Dame du Grand Pouvoir church-building evidence,2026-05-02
region-sud-notre-dame-des-anges-resurrection-grand-sable,Résurrection,Notre-Dame-des-Anges,Grand-Sable,-20.393,57.725,,0.45,locality_level_only,2026-05-02
region-sud-notre-dame-des-anges-saint-henri-cent-gaulettes,Saint-Henri,Notre-Dame-des-Anges,Cent-Gaulettes,-20.424,57.681,,0.45,locality_level_only,2026-05-02
region-sud-notre-dame-des-anges-sainte-cecile-bambous-virieux,Sainte-Cécile,Notre-Dame-des-Anges,Bambous-Virieux,-20.338,57.759,,0.45,locality_level_only,2026-05-02
region-sud-notre-dame-du-mont-carmel-notre-dame-du-mont-carmel-chemin-grenier,Notre-Dame-du-Mont-Carmel,Notre-Dame-du-Mont-Carmel,Chemin Grenier,-20.492188,57.466938,,0.88,GCatholic Google Maps plus code,2026-05-02
region-sud-notre-dame-du-mont-carmel-saint-francois-dassise-baie-du-cap,Saint-François-d’Assise,Notre-Dame-du-Mont-Carmel,Baie-du-Cap,-20.486,57.379,,0.45,locality_level_only,2026-05-02
region-sud-notre-dame-du-refuge-notre-dame-du-refuge-new-grove,Notre-Dame-du-Refuge,Notre-Dame-du-Refuge,New Grove,-20.41442,57.61777,,0.93,Mapcarta/OpenStreetMap church-building evidence,2026-05-02
region-sud-notre-dame-du-refuge-sainte-famille-rose-belle,Sainte-Famille,Notre-Dame-du-Refuge,Rose-Belle,-20.4,57.596,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-sud-sacre-cur-notre-dame-de-la-paix-batimarais,Notre-Dame-de-la-Paix,Sacré-Cœur,Batimarais,-20.483,57.61,,0.45,locality_level_only,2026-05-02
region-sud-sacre-cur-sacre-cur-riviere-des-anguilles,Sacré-Cœur,Sacré-Cœur,Rivière-des-Anguilles,-20.490121,57.560881,,0.88,"WeekdayMasses church map pin for Sacre Coeur, B8 La Baraque Road, Riviere des Anguilles",2026-05-02
region-sud-sacre-cur-saint-georges-camp-diable,Saint-Georges,Sacré-Cœur,Camp-Diable,-20.463,57.582,,0.45,locality_level_only,2026-05-02
region-sud-sacre-cur-saint-louis-grand-bois,Saint-Louis,Sacré-Cœur,Grand-Bois,-20.419,57.542,,0.45,locality_level_only,2026-05-02
region-sud-saint-jacques-freres-missionnaires-de-la-charite-souillac,Frères Missionnaires de la Charité,Saint-Jacques,Souillac,-20.518,57.522,,0.65,duplicate_or_area_coordinate,2026-05-02
region-sud-saint-jacques-saint-jacques-souillac,Saint-Jacques,Saint-Jacques,Souillac,-20.516938,57.521062,,0.88,GCatholic Google Maps plus code,2026-05-02
region-sud-saint-jacques-saint-joseph-surinam,Saint-Joseph,Saint-Jacques,Surinam,-20.507,57.536,,0.74,prior_unique_church_coordinate_not_door_verified,2026-05-02
region-sud-saint-patrice-dans-les-quartiers-plaine-magnien,Dans les quartiers,Saint-Patrice,Plaine Magnien,-20.431,57.669,,0.45,locality_level_only,2026-05-02
region-sud-saint-patrice-sacre-cur-le-bouchon,Sacré-Cœur,Saint-Patrice,Le Bouchon,-20.466,57.677,,0.45,locality_level_only,2026-05-02
region-sud-saint-patrice-saint-francois-xavier-lescalier,Saint-François-Xavier,Saint-Patrice,L’Escalier,-20.458,57.616,,0.45,locality_level_only,2026-05-02
region-sud-saint-patrice-saint-patrice-plaine-magnien,Saint-Patrice,Saint-Patrice,Plaine Magnien,-20.432562,57.659312,,0.88,GCatholic Google Maps plus code after v24.22.2 recheck,2026-05-02
region-sud-saint-patrice-sainte-famille-mon-desert-mon-tresor,Sainte-Famille,Saint-Patrice,Mon-Désert-Mon-Trésor,-20.449188,57.682063,,0.88,GCatholic Google Maps plus code,2026-05-02
region-sud-saint-pierre-saint-pierre-riviere-des-anguilles,Saint-Pierre,Saint-Pierre,Rivière-des-Anguilles,-20.486,57.555,,0.45,locality_level_only,2026-05-02
